elasticity,seed,policy,reward,revenue,peak_load,load_variance,service_ratio,final_backlog,action,selected_price
3.0,0,Best constant,1.4204356585438642,1.5996306840121965,0.85,0.10896525184133009,0.999999999874971,0.0,1.0,0.2
3.0,0,Tabular Q-learning,1.0676501994975536,2.0577847623217127,0.85,0.11573200571413624,0.9999999998798491,0.0,,
3.0,1,Flat 0.30,0.7457923439997431,2.4503639566503796,0.85,0.09804993209768231,0.9903899117072056,0.07925569985926854,,
3.0,1,TOU rule,-13.089137529352502,2.5385174902610004,0.85,0.10006162399687459,0.9999999998787455,0.0,,
3.0,1,Best constant,1.429309398123527,1.6494271110721073,0.85,0.10806680638557746,0.9999999998787458,1.3877787807814457e-17,1.0,0.2
3.0,1,Tabular Q-learning,1.119933054887729,2.1273298031194545,0.85,0.11411822382330579,0.9999999998784678,0.0,,
3.0,2,Flat 0.30,0.7437377838102986,2.443285895193341,0.85,0.09999603935932673,0.9916883740817153,0.06825960858106236,,
3.0,2,TOU rule,-13.287678577646963,2.5304017713832967,0.85,0.10128957731006853,0.9999999998782353,0.0,,
3.0,2,Best constant,1.435458925054931,1.6425091851784397,0.85,0.11091336174842877,0.9999999998782351,0.0,1.0,0.2
3.0,2,Tabular Q-learning,1.2091138472099863,2.138884944365202,0.85,0.10742281781614031,0.9999999998798604,0.0,,
3.0,3,Flat 0.30,0.7724828020250996,2.45311169142465,0.85,0.10078106061190378,0.992594728080932,0.06100495435899195,,
3.0,3,TOU rule,-13.939618383996855,2.5482564095244142,0.85,0.10177552285942493,0.9999999998786115,0.0,,
3.0,3,Best constant,1.4904559978961367,1.6476087851548984,0.85,0.11189865041633272,0.999999999878612,0.0,1.0,0.2
3.0,3,Tabular Q-learning,0.9785645013041321,2.1610819478982464,0.85,0.1129128268396125,0.9955674695900685,0.03636429719151468,,
3.0,4,Flat 0.30,0.7145406814742599,2.424907817163206,0.85,0.10508650499546952,0.992872815109607,0.05802275912284975,,
3.0,4,TOU rule,-13.041380348149238,2.53231343281972,0.85,0.10582913062966688,0.9999999998771657,0.0,,
3.0,4,Best constant,1.353828709331744,1.6282097632667076,0.85,0.11625999819538267,0.9999999998771657,0.0,1.0,0.2
3.0,4,Tabular Q-learning,1.115836081952131,2.124863500974078,0.85,0.11566705966508807,0.9999999998777448,0.0,,
3.0,5,Flat 0.30,0.6395954203241774,2.377382958916875,0.85,0.0988018481968785,0.9933980528235256,0.05266554989509528,,
3.0,5,TOU rule,-12.490086799186471,2.4839193725252193,0.85,0.10525023132718388,0.9999999998746437,0.0,,
